	TEAM	GP	AST	APG	TO	TOPG	AST/TO	Season	BLK/PF	PF	BLK	BLKPG	OFF	RPG	REB	ORPG	DRPG	DEF	STL	ST/PF	ST/TO	STPG	2PA	PPG	3PATotal	2P%	3PMTotal	PPS	3PMPG	3PAPG	FG%	2PM	3P%	FTAPG	FTATotal	FT%	FTMPG	FTMTotal
225	Auburn	31	352	11.4	428	13.8	0.82	2015	0.19	658	126	4.06	346	36.6	1134	11.2	25.4	788	166	0.25	0.39	5.35	1020	70.7	799	.443	272	1.21	8.8	26	.473	452	.340	24.1	747	.632	15.2	472
226	North Texas	32	362	11.3	443	13.8	0.82	2015	0.14	685	98	3.06	362	36.2	1158	11.3	24.9	796	210	0.31	0.47	6.56	1271	74.6	567	.506	187	1.30	5.8	18	.502	643	.330	26.2	838	.643	16.8	539
227	South Dakota State	33	373	11.3	388	11.8	0.96	2015	0.13	651	82	2.48	370	37.9	1251	11.2	26.7	881	164	0.25	0.42	4.97	1205	76.3	686	.505	245	1.33	7.4	21	.516	608	.357	23.2	766	.739	17.2	566
228	UMKC	31	350	11.3	415	13.4	0.84	2015	0.15	651	98	3.16	356	35.0	1084	11.5	23.5	728	181	0.28	0.44	5.84	1150	69.4	588	.463	213	1.24	6.9	19	.491	533	.362	21.4	663	.674	14.4	447
229	Presbyterian	31	350	11.3	441	14.2	0.79	2015	0.10	595	60	1.94	298	33.8	1047	9.6	24.2	749	206	0.35	0.47	6.65	1241	67.5	502	.488	148	1.20	4.8	16	.475	606	.295	19.8	615	.711	14.1	437
230	Towson	32	361	11.3	392	12.3	0.92	2015	0.23	651	150	4.69	461	39.3	1257	14.4	24.9	796	199	0.31	0.51	6.22	1272	71.4	553	.472	178	1.25	5.6	17	.476	601	.322	25.3	810	.679	17.2	550
231	Morgan State	31	349	11.3	368	11.9	0.95	2015	0.12	572	68	2.19	377	35.1	1089	12.2	23.0	712	188	0.33	0.51	6.06	1319	67.4	535	.434	161	1.13	5.2	17	.439	573	.301	21.7	672	.685	14.8	460
232	Troy	31	349	11.3	376	12.1	0.93	2015	0.15	582	88	2.84	349	36.5	1132	11.3	25.3	783	185	0.32	0.49	5.97	1142	69.2	674	.466	208	1.18	6.7	22	.465	532	.309	23.0	713	.641	14.7	457
233	Loyola (MD)	30	337	11.2	392	13.1	0.86	2015	0.16	648	102	3.40	334	35.1	1054	11.1	24.0	720	162	0.25	0.41	5.40	1172	69.7	530	.487	161	1.23	5.4	18	.477	571	.304	21.8	653	.712	15.5	465
234	American	31	348	11.2	428	13.8	0.81	2015	0.12	566	69	2.23	218	28.2	874	7.0	21.2	656	176	0.31	0.41	5.68	915	57.6	572	.477	195	1.20	6.3	18	.490	436	.341	15.2	471	.696	10.6	328
235	Coppin State	31	348	11.2	408	13.2	0.85	2015	0.14	666	91	2.94	405	37.0	1147	13.1	23.9	742	174	0.26	0.43	5.61	1217	72.3	715	.413	238	1.16	7.7	23	.445	503	.333	23.8	737	.706	16.8	520
236	Binghamton	30	333	11.1	419	14.0	0.79	2015	0.12	558	68	2.27	273	34.0	1021	9.1	24.9	748	161	0.29	0.38	5.37	1015	60.9	599	.451	171	1.13	5.7	20	.443	458	.285	19.5	584	.682	13.3	398
237	Georgia Southern	31	344	11.1	359	11.6	0.96	2015	0.11	691	73	2.35	374	36.5	1131	12.1	24.4	757	232	0.34	0.65	7.48	1069	75.9	834	.467	282	1.24	9.1	27	.484	499	.338	23.5	728	.699	16.4	509
238	IUPUI	32	355	11.1	426	13.3	0.83	2015	0.12	651	81	2.53	321	34.5	1105	10.0	24.5	784	213	0.33	0.50	6.66	1309	68.2	549	.460	183	1.17	5.7	17	.472	602	.333	19.0	607	.705	13.4	428
239	VMI	30	330	11.0	397	13.2	0.83	2015	0.22	586	126	4.20	290	33.1	994	9.7	23.5	704	184	0.31	0.46	6.13	987	69.4	783	.472	263	1.18	8.8	26	.486	466	.336	16.6	498	.723	12.0	360
240	Florida A&M;	29	319	11.0	466	16.1	0.68	2015	0.11	566	65	2.24	293	34.8	1010	10.1	24.7	717	192	0.34	0.41	6.62	1051	64.2	555	.453	168	1.16	5.8	19	.453	476	.303	23.8	691	.589	14.0	407
241	Southern	34	372	10.9	382	11.2	0.97	2015	0.18	659	121	3.56	356	36.0	1225	10.5	25.6	869	254	0.39	0.66	7.47	1401	72.9	590	.485	208	1.25	6.1	17	.498	679	.353	21.9	743	.669	14.6	497
242	Tulane	34	372	10.9	451	13.3	0.82	2015	0.20	649	131	3.85	415	37.2	1266	12.2	25.0	851	218	0.34	0.48	6.41	1302	65.9	719	.450	216	1.11	6.4	21	.450	586	.300	18.3	621	.676	12.4	420
243	Mt. St. Mary's	33	361	10.9	401	12.2	0.90	2015	0.18	655	119	3.61	318	31.0	1022	9.6	21.3	704	248	0.38	0.62	7.52	1254	67.2	713	.448	226	1.13	6.8	22	.458	562	.317	18.2	601	.692	12.6	416
244	San Diego	30	328	10.9	410	13.7	0.80	2015	0.18	640	118	3.93	289	33.2	995	9.6	23.5	706	139	0.22	0.34	4.63	941	60.7	673	.465	192	1.13	6.4	22	.450	438	.285	18.6	559	.662	12.3	370
245	Indiana State	32	347	10.8	423	13.2	0.82	2015	0.13	688	86	2.69	343	38.0	1215	10.7	27.3	872	184	0.27	0.43	5.75	1132	67.8	693	.446	210	1.19	6.6	22	.449	505	.303	23.9	765	.693	16.6	530
246	Niagara	32	347	10.8	461	14.4	0.75	2015	0.16	626	103	3.22	384	36.5	1167	12.0	24.5	783	165	0.26	0.36	5.16	1231	64.6	589	.462	166	1.14	5.2	18	.449	569	.282	19.4	620	.695	13.5	431
247	SIU-Edwardsville	28	303	10.8	377	13.5	0.80	2015	0.18	619	112	4.00	339	35.7	999	12.1	23.6	660	138	0.22	0.37	4.93	1072	65.7	519	.444	158	1.16	5.6	19	.448	476	.304	21.0	587	.704	14.8	413
248	Cornell	28	302	10.8	372	13.3	0.81	2015	0.19	563	107	3.82	244	32.5	910	8.7	23.8	666	217	0.39	0.58	7.75	991	71.1	683	.474	233	1.19	8.3	24	.490	470	.341	19.4	542	.651	12.6	353
249	Mississippi Valley State	35	373	10.7	470	13.4	0.79	2015	0.12	671	82	2.34	380	35.6	1246	10.9	24.7	866	241	0.36	0.51	6.89	1539	65.5	590	.420	179	1.08	5.1	17	.430	647	.303	19.1	667	.693	13.2	462
250	Delaware	30	319	10.6	360	12.0	0.89	2015	0.16	535	87	2.90	331	37.7	1131	11.0	26.7	800	108	0.20	0.30	3.60	1147	66.2	517	.437	168	1.19	5.6	17	.453	501	.325	23.4	701	.685	16.0	480
251	South Alabama	33	350	10.6	483	14.6	0.72	2015	0.20	664	132	4.00	390	37.2	1228	11.8	25.4	838	221	0.33	0.46	6.70	1257	69.2	660	.454	213	1.19	6.5	20	.465	571	.323	22.6	747	.673	15.2	503
252	North Carolina A&T;	32	339	10.6	439	13.7	0.77	2015	0.11	718	77	2.41	357	35.9	1148	11.2	24.7	791	162	0.23	0.37	5.06	1203	67.8	633	.454	199	1.18	6.2	20	.460	546	.314	21.1	675	.711	15.0	480
253	San Diego State	34	360	10.6	425	12.5	0.85	2015	0.31	590	184	5.41	399	38.8	1318	11.7	27.0	919	194	0.33	0.46	5.71	1235	68.1	617	.470	197	1.25	5.8	18	.473	581	.319	24.0	817	.688	16.5	562
254	Alabama	32	338	10.6	426	13.3	0.79	2015	0.27	617	169	5.28	313	34.7	1109	9.8	24.9	796	180	0.29	0.42	5.63	958	66.8	732	.491	251	1.27	7.8	23	.501	470	.343	21.8	697	.640	13.9	446
255	Tennessee State	30	316	10.5	408	13.6	0.77	2015	0.17	621	107	3.57	341	37.2	1115	11.4	25.8	774	231	0.37	0.57	7.70	1196	73.3	495	.508	163	1.30	5.4	17	.504	607	.329	23.7	712	.695	16.5	495
256	North Dakota State	33	347	10.5	348	10.5	1.00	2015	0.22	523	117	3.55	302	34.8	1149	9.2	25.7	847	198	0.38	0.57	6.00	1207	68.8	630	.500	214	1.24	6.5	19	.503	603	.340	18.8	619	.683	12.8	423
257	Savannah State	31	323	10.4	458	14.8	0.71	2015	0.13	619	81	2.61	290	32.2	998	9.4	22.8	708	188	0.30	0.41	6.06	1014	62.4	623	.450	196	1.18	6.3	20	.459	456	.315	21.3	659	.654	13.9	431
258	Northern Colorado	31	322	10.4	427	13.8	0.75	2015	0.11	704	78	2.52	327	34.8	1078	10.5	24.2	751	178	0.25	0.42	5.74	1181	73.9	549	.489	203	1.32	6.5	18	.510	577	.370	23.5	727	.728	17.1	529
259	George Mason	32	328	10.3	407	12.7	0.81	2015	0.21	570	119	3.72	419	42.5	1359	13.1	29.4	940	92	0.16	0.23	2.88	1299	66.9	589	.457	172	1.13	5.4	18	.451	594	.292	20.3	650	.671	13.6	436
260	Cleveland State	32	327	10.2	459	14.3	0.71	2015	0.13	670	87	2.72	338	33.2	1061	10.6	22.6	723	196	0.29	0.43	6.13	1210	60.8	537	.438	174	1.11	5.4	17	.453	530	.324	16.8	538	.678	11.4	365
261	Miami (OH)	33	336	10.2	402	12.2	0.84	2015	0.12	617	71	2.15	326	32.3	1067	9.9	22.5	741	218	0.35	0.54	6.61	1200	63.3	582	.451	178	1.17	5.4	18	.454	541	.306	19.6	646	.729	14.3	471
262	CS Fullerton	30	304	10.1	393	13.1	0.77	2015	0.08	610	47	1.57	335	37.2	1116	11.2	26.0	781	148	0.24	0.38	4.93	1120	70.1	582	.451	193	1.24	6.4	19	.467	505	.332	24.8	743	.693	17.2	515
263	Penn State	32	322	10.1	361	11.3	0.89	2015	0.22	644	141	4.41	333	34.7	1111	10.4	24.3	778	166	0.26	0.46	5.19	1134	65.8	665	.459	211	1.17	6.6	21	.466	521	.317	19.4	621	.696	13.5	432
264	South Florida	33	331	10.0	485	14.7	0.68	2015	0.30	588	176	5.33	413	38.5	1271	12.5	26.0	858	150	0.26	0.31	4.55	1387	63.2	465	.462	133	1.13	4.0	14	.454	641	.286	18.5	612	.660	12.2	404
265	Grambling	31	298	9.6	442	14.3	0.67	2015	0.08	615	52	1.68	282	32.7	1013	9.1	23.6	731	210	0.34	0.48	6.77	1051	62.1	556	.481	152	1.20	4.9	18	.457	506	.273	22.8	706	.646	14.7	456
266	Arkansas-Pine Bluff	33	317	9.6	516	15.6	0.61	2015	0.17	723	124	3.76	322	30.4	1004	9.8	20.7	682	235	0.33	0.46	7.12	1056	56.6	666	.447	202	1.08	6.1	20	.450	472	.303	15.7	519	.611	9.6	317
267	Bradley	32	292	9.1	548	17.1	0.53	2015	0.12	744	88	2.75	276	33.8	1083	8.6	25.2	807	143	0.19	0.26	4.47	1007	56.0	590	.438	165	1.12	5.2	18	.431	441	.280	19.7	629	.661	13.0	416
268	Alcorn State	30	272	9.1	429	14.3	0.63	2015	0.20	548	111	3.70	384	35.7	1071	12.8	22.9	687	134	0.24	0.31	4.47	1126	67.1	564	.459	174	1.19	5.8	19	.460	517	.309	22.5	675	.677	15.2	457
269	Prairie View A&M;	31	269	8.7	465	15.0	0.58	2015	0.12	691	84	2.71	355	32.2	998	11.5	20.7	643	239	0.35	0.51	7.71	1260	60.4	467	.421	127	1.08	4.1	15	.417	530	.272	20.3	630	.686	13.9	432
270	Howard	32	275	8.6	477	14.9	0.58	2015	0.16	633	102	3.19	403	38.1	1218	12.6	25.5	815	200	0.32	0.42	6.25	1360	72.2	486	.446	144	1.25	4.5	15	.445	606	.296	28.6	914	.730	20.8	667
271	CSU Bakersfield	32	501	15.7	391	12.2	1.28	2015	0.24	686	162	5.06	401	38.3	1226	12.5	25.8	825	257	0.37	0.66	8.03	1375	73.0	506	.491	174	1.24	5.4	16	.498	675	.344	22.3	712	.653	14.5	465
272	Utah	34	532	15.6	418	12.3	1.27	2015	0.28	524	145	4.26	328	37.4	1270	9.6	27.7	942	183	0.35	0.44	5.38	1185	77.6	713	.565	259	1.39	7.6	21	.557	669	.363	21.6	734	.714	15.4	524
273	Oakland	32	500	15.6	371	11.6	1.35	2015	0.18	613	112	3.50	374	39.7	1269	11.7	28.0	895	190	0.31	0.51	5.94	1288	86.3	718	.494	284	1.38	8.9	22	.529	636	.396	26.0	831	.768	19.9	638
274	Fordham	30	468	15.6	417	13.9	1.12	2015	0.20	594	116	3.87	310	34.3	1030	10.3	24.0	720	252	0.42	0.60	8.40	1017	71.3	673	.516	232	1.27	7.7	22	.517	525	.345	19.2	577	.683	13.1	394
275	Fairfield	32	498	15.6	421	13.2	1.18	2015	0.22	613	132	4.13	291	34.8	1113	9.1	25.7	822	207	0.34	0.49	6.47	1127	76.9	798	.501	289	1.28	9.0	25	.519	565	.362	19.7	630	.735	14.5	463
276	The Citadel	32	498	15.6	441	13.8	1.13	2015	0.14	770	104	3.25	404	36.1	1156	12.6	23.5	752	286	0.37	0.65	8.94	1126	86.0	1123	.511	363	1.22	11.3	35	.498	575	.323	22.0	705	.729	16.1	514
277	Loyola Marymount	31	482	15.5	352	11.4	1.37	2015	0.14	631	90	2.90	349	33.8	1047	11.3	22.5	698	211	0.33	0.60	6.81	1234	71.2	669	.461	227	1.16	7.3	22	.478	569	.339	17.3	536	.726	12.5	389
278	UTEP	33	512	15.5	417	12.6	1.23	2015	0.17	673	116	3.52	299	36.2	1196	9.1	27.2	897	197	0.29	0.47	5.97	1308	77.4	618	.515	223	1.33	6.8	19	.523	673	.361	24.5	809	.666	16.3	539
279	Duquesne	32	496	15.5	445	13.9	1.11	2015	0.19	634	121	3.78	327	39.2	1253	10.2	28.9	926	153	0.24	0.34	4.78	1114	78.5	830	.530	301	1.29	9.4	26	.536	590	.363	19.6	626	.685	13.4	429
280	Cincinnati	32	495	15.5	354	11.1	1.40	2015	0.37	498	186	5.81	432	39.4	1260	13.5	25.9	828	254	0.51	0.72	7.94	1224	73.2	701	.475	242	1.22	7.6	22	.490	581	.345	20.2	645	.704	14.2	454
281	Northwestern State	28	433	15.5	407	14.5	1.06	2015	0.16	560	90	3.21	286	32.8	919	10.2	22.6	633	174	0.31	0.43	6.21	1109	79.4	578	.508	207	1.32	7.4	21	.518	563	.358	22.3	623	.766	17.0	477
282	High Point	31	479	15.5	331	10.7	1.45	2015	0.17	545	94	3.03	326	33.8	1049	10.5	23.3	723	251	0.46	0.76	8.10	1337	77.6	457	.515	175	1.34	5.6	15	.530	688	.383	21.4	662	.764	16.3	506
283	South Dakota	32	492	15.4	388	12.1	1.27	2015	0.17	662	113	3.53	289	33.7	1077	9.0	24.6	788	209	0.32	0.54	6.53	1389	76.3	565	.512	201	1.25	6.3	18	.518	711	.356	18.6	596	.701	13.1	418
284	LSU	33	507	15.4	394	11.9	1.29	2015	0.15	609	90	2.73	368	37.3	1230	11.2	26.1	862	263	0.43	0.67	7.97	1370	78.8	620	.520	203	1.31	6.2	19	.511	712	.327	25.9	856	.665	17.2	569
285	Creighton	32	491	15.3	368	11.5	1.33	2015	0.16	609	100	3.13	298	36.6	1170	9.3	27.3	872	195	0.32	0.53	6.09	1159	79.6	745	.544	262	1.34	8.2	23	.537	630	.352	22.3	712	.702	15.6	500
286	UT Rio Grande Valley	30	458	15.3	374	12.5	1.22	2015	0.17	536	91	3.03	258	33.5	1004	8.6	24.9	746	143	0.27	0.38	4.77	1079	66.4	633	.467	212	1.16	7.1	21	.480	504	.335	17.3	520	.671	11.6	349
287	Stetson	34	519	15.3	418	12.3	1.24	2015	0.13	614	82	2.41	328	35.6	1212	9.6	26.0	884	214	0.35	0.51	6.29	1351	80.3	775	.503	282	1.28	8.3	23	.519	680	.364	21.3	725	.721	15.4	523
288	UC Santa Barbara	31	473	15.3	389	12.5	1.22	2015	0.15	613	95	3.06	328	37.5	1164	10.6	27.0	836	189	0.31	0.49	6.10	1194	71.5	643	.486	236	1.21	7.6	21	.508	580	.367	15.9	493	.706	11.2	348
289	Army	32	488	15.3	434	13.6	1.12	2015	0.19	612	117	3.66	396	40.7	1301	12.4	28.3	905	160	0.26	0.37	5.00	1176	77.3	844	.498	284	1.22	8.9	26	.501	586	.336	20.2	647	.696	14.1	450
290	Elon	32	488	15.3	411	12.8	1.19	2015	0.12	607	75	2.34	335	37.0	1185	10.5	26.6	850	176	0.29	0.43	5.50	1057	75.9	885	.532	303	1.25	9.5	28	.523	562	.342	18.7	599	.661	12.4	396
291	Fort Wayne	33	503	15.2	401	12.2	1.25	2015	0.19	572	108	3.27	331	36.3	1198	10.0	26.3	867	181	0.32	0.45	5.48	1118	80.2	838	.506	347	1.35	10.5	25	.555	566	.414	20.0	660	.717	14.3	473
292	UC Irvine	34	518	15.2	417	12.3	1.24	2015	0.29	627	179	5.26	328	36.8	1251	9.6	27.1	923	189	0.30	0.45	5.56	1307	71.1	569	.499	211	1.29	6.2	17	.516	652	.371	20.6	702	.684	14.1	480
293	East Carolina	32	486	15.2	424	13.3	1.15	2015	0.12	536	64	2.00	320	34.3	1097	10.0	24.3	777	183	0.34	0.43	5.72	1106	68.3	684	.478	232	1.22	7.3	21	.490	529	.339	19.4	620	.697	13.5	432
294	Yale	28	425	15.2	375	13.4	1.13	2015	0.26	497	128	4.57	379	40.4	1131	13.5	26.9	752	162	0.33	0.43	5.79	1096	75.2	484	.514	181	1.33	6.5	17	.528	563	.374	23.5	658	.663	15.6	436
295	Long Beach State	34	516	15.2	413	12.1	1.25	2015	0.13	695	87	2.56	357	35.8	1217	10.5	25.3	860	220	0.32	0.53	6.47	1248	73.9	757	.466	279	1.25	8.2	22	.499	581	.369	22.0	748	.684	15.1	512
296	Memphis	33	500	15.2	407	12.3	1.23	2015	0.28	660	185	5.61	431	40.9	1349	13.1	27.8	918	258	0.39	0.63	7.82	1449	77.1	619	.452	201	1.23	6.1	19	.463	655	.325	26.5	873	.724	19.2	632
297	South Carolina Upstate	32	484	15.1	449	14.0	1.08	2015	0.17	623	106	3.31	413	38.2	1221	12.9	25.3	808	175	0.28	0.39	5.47	1274	72.3	641	.504	218	1.21	6.8	20	.506	642	.340	18.5	592	.637	11.8	377
298	UNLV	33	499	15.1	466	14.1	1.07	2015	0.24	700	168	5.09	371	38.4	1266	11.2	27.1	895	266	0.38	0.57	8.06	1255	78.2	760	.506	252	1.28	7.6	23	.503	635	.332	24.7	815	.681	16.8	555
299	Harvard	30	452	15.1	436	14.5	1.04	2015	0.28	538	150	5.00	318	37.3	1118	10.6	26.7	800	150	0.28	0.34	5.00	1081	66.7	568	.475	220	1.21	7.3	19	.512	514	.387	17.5	525	.596	10.4	313
300	Davidson	32	482	15.1	323	10.1	1.49	2015	0.18	548	100	3.13	307	35.2	1127	9.6	25.6	820	150	0.27	0.46	4.69	1101	79.2	859	.512	304	1.29	9.5	27	.520	564	.354	20.3	650	.760	15.4	494
301	Hofstra	33	496	15.0	386	11.7	1.28	2015	0.20	525	107	3.24	391	39.2	1294	11.8	27.4	903	207	0.39	0.54	6.27	1207	78.8	786	.501	279	1.31	8.5	24	.514	605	.355	24.4	806	.687	16.8	554
302	Saint Joseph's	33	495	15.0	337	10.2	1.47	2015	0.22	524	113	3.42	340	38.7	1277	10.3	28.4	937	168	0.32	0.50	5.09	1264	77.3	720	.518	236	1.29	7.2	22	.509	655	.328	22.5	741	.719	16.2	533
303	Michigan	34	509	15.0	333	9.8	1.53	2015	0.14	530	74	2.18	267	32.0	1089	7.9	24.2	822	188	0.35	0.56	5.53	1077	74.3	849	.531	326	1.31	9.6	25	.551	572	.384	16.1	548	.737	11.9	404
304	Princeton	28	419	15.0	319	11.4	1.31	2015	0.21	478	100	3.57	279	36.9	1033	10.0	26.9	754	199	0.42	0.62	7.11	956	79.0	697	.523	271	1.34	9.7	25	.548	500	.389	20.2	566	.707	14.3	400
305	Vanderbilt	32	478	14.9	374	11.7	1.28	2015	0.29	610	177	5.53	304	38.6	1234	9.5	29.1	930	138	0.23	0.37	4.31	1131	76.8	695	.505	270	1.35	8.4	22	.535	571	.388	22.5	721	.699	15.8	504
306	Grand Canyon	31	463	14.9	378	12.2	1.22	2015	0.14	578	80	2.58	362	38.3	1188	11.7	26.6	826	189	0.33	0.50	6.10	1288	76.8	517	.491	192	1.32	6.2	17	.510	632	.371	24.8	769	.704	17.5	541
307	Georgetown	33	492	14.9	442	13.4	1.11	2015	0.19	755	146	4.42	316	35.8	1181	9.6	26.2	865	180	0.24	0.41	5.45	1088	73.6	770	.514	261	1.31	7.9	23	.512	559	.339	21.3	704	.751	16.0	529
308	Lehigh	32	477	14.9	416	13.0	1.15	2015	0.19	548	103	3.22	307	34.2	1095	9.6	24.6	788	214	0.39	0.51	6.69	1173	70.9	604	.488	237	1.28	7.4	19	.523	573	.392	17.7	565	.727	12.8	411
309	USC	33	491	14.9	403	12.2	1.22	2015	0.31	576	180	5.45	396	39.5	1302	12.0	27.5	906	209	0.36	0.52	6.33	1410	80.8	675	.492	260	1.28	7.9	20	.520	694	.385	22.3	737	.678	15.2	500
310	Mercer	33	491	14.9	417	12.6	1.18	2015	0.15	572	84	2.55	423	40.1	1324	12.8	27.3	901	167	0.29	0.40	5.06	1307	72.4	590	.492	206	1.26	6.2	18	.502	643	.349	20.2	667	.727	14.7	485
311	Brown	28	414	14.8	376	13.4	1.10	2015	0.21	543	114	4.07	272	36.4	1019	9.7	26.7	747	150	0.28	0.40	5.36	986	72.9	639	.479	225	1.26	8.0	23	.498	472	.352	21.4	600	.702	15.0	421
312	West Virginia	34	502	14.8	476	14.0	1.05	2015	0.11	792	86	2.53	541	39.2	1332	15.9	23.3	791	338	0.43	0.71	9.94	1423	79.2	627	.507	206	1.31	6.1	18	.502	721	.329	27.8	945	.670	18.6	633
313	Incarnate Word	29	428	14.8	368	12.7	1.16	2015	0.14	538	75	2.59	232	33.6	974	8.0	25.6	742	200	0.37	0.54	6.90	1031	74.0	622	.469	234	1.30	8.1	21	.505	484	.376	21.4	620	.766	16.4	475
314	Ball State	32	472	14.8	418	13.1	1.13	2015	0.20	606	120	3.75	291	35.8	1146	9.1	26.7	855	178	0.29	0.43	5.56	1003	70.3	736	.500	275	1.29	8.6	23	.526	502	.374	19.2	613	.688	13.2	422
315	Northeastern	33	485	14.7	409	12.4	1.19	2015	0.20	546	109	3.30	295	33.7	1111	8.9	24.7	816	202	0.37	0.49	6.12	1038	72.0	770	.488	286	1.31	8.7	23	.518	507	.371	21.3	704	.716	15.3	504
316	UMass Lowell	29	426	14.7	455	15.7	0.94	2015	0.12	597	71	2.45	249	32.7	947	8.6	24.1	698	205	0.34	0.45	7.07	1046	76.6	659	.535	240	1.30	8.3	23	.540	560	.364	19.2	556	.685	13.1	381
317	Dayton	32	470	14.7	418	13.1	1.12	2015	0.23	610	142	4.44	317	38.6	1236	9.9	28.7	919	189	0.31	0.45	5.91	1160	73.2	620	.520	215	1.32	6.7	19	.520	603	.347	22.8	730	.673	15.3	491
318	Wofford	32	470	14.7	379	11.8	1.24	2015	0.09	608	56	1.75	274	31.7	1015	8.6	23.2	741	163	0.27	0.43	5.09	1063	71.8	662	.471	270	1.33	8.4	21	.525	501	.408	20.2	645	.750	15.1	484
319	Utah State	31	454	14.6	373	12.0	1.22	2015	0.15	546	81	2.61	319	35.7	1107	10.3	25.4	788	170	0.31	0.46	5.48	1084	73.4	695	.503	257	1.28	8.3	22	.523	545	.370	19.3	597	.692	13.3	413
320	Northern Kentucky	30	439	14.6	406	13.5	1.08	2015	0.14	615	88	2.93	281	34.4	1032	9.4	25.0	751	142	0.23	0.35	4.73	1063	70.5	656	.490	234	1.23	7.8	22	.507	521	.357	18.2	545	.683	12.4	372
321	Akron	34	497	14.6	373	11.0	1.33	2015	0.23	601	136	4.00	357	37.3	1267	10.5	26.8	910	184	0.31	0.49	5.41	1014	77.0	1027	.481	400	1.28	11.8	30	.533	488	.389	18.8	639	.693	13.0	443
322	Youngstown State	32	467	14.6	387	12.1	1.21	2015	0.14	571	80	2.50	283	33.8	1081	8.8	24.9	798	219	0.38	0.57	6.84	1317	76.2	704	.465	257	1.21	8.0	22	.494	613	.365	19.3	619	.711	13.8	440
323	Charlotte	33	481	14.6	396	12.0	1.21	2015	0.12	588	73	2.21	374	36.2	1196	11.3	24.9	822	204	0.35	0.52	6.18	1370	78.3	696	.477	266	1.25	8.1	21	.510	654	.382	20.8	685	.698	14.5	478
324	Chattanooga	34	495	14.6	422	12.4	1.17	2015	0.28	577	163	4.79	372	35.8	1218	10.9	24.9	846	265	0.46	0.63	7.79	1192	75.8	712	.512	259	1.35	7.6	21	.524	610	.364	23.3	793	.733	17.1	581
325	Columbia	31	451	14.5	337	10.9	1.34	2015	0.18	592	106	3.42	320	35.1	1087	10.3	24.7	767	198	0.33	0.59	6.39	976	76.2	783	.517	293	1.34	9.5	25	.537	505	.374	21.5	665	.711	15.3	473
326	Oklahoma	32	465	14.5	415	13.0	1.12	2015	0.31	538	168	5.25	343	38.8	1242	10.7	28.1	899	221	0.41	0.53	6.91	1144	80.4	784	.481	334	1.33	10.4	25	.545	550	.426	20.2	647	.728	14.7	471
327	Arizona	33	479	14.5	423	12.8	1.13	2015	0.26	599	158	4.79	384	40.2	1328	11.6	28.6	944	162	0.27	0.38	4.91	1360	81.2	562	.523	215	1.39	6.5	17	.538	711	.383	25.7	848	.723	18.6	613
328	Utah Valley	30	435	14.5	399	13.3	1.09	2015	0.15	627	95	3.17	276	36.7	1102	9.2	27.5	826	176	0.28	0.44	5.87	1105	76.0	729	.479	256	1.24	8.5	24	.498	529	.351	20.9	628	.723	15.1	454
329	San Jose State	31	449	14.5	430	13.9	1.04	2015	0.17	687	120	3.87	327	36.5	1130	10.5	25.9	803	185	0.27	0.43	5.97	1093	70.5	689	.498	212	1.23	6.8	22	.484	544	.308	22.6	701	.659	14.9	462
330	Kentucky	33	477	14.5	363	11.0	1.31	2015	0.28	676	186	5.64	431	38.9	1283	13.1	25.8	852	182	0.27	0.50	5.52	1358	79.6	613	.528	226	1.33	6.8	19	.536	717	.369	22.8	753	.684	15.6	515
331	Siena	33	477	14.5	527	16.0	0.91	2015	0.22	695	151	4.58	449	40.5	1336	13.6	26.9	887	202	0.29	0.38	6.12	1372	78.2	565	.506	206	1.33	6.2	17	.518	694	.365	24.0	792	.723	17.4	573
332	Washington	32	462	14.4	445	13.9	1.04	2015	0.28	767	215	6.72	442	39.8	1275	13.8	26.0	833	245	0.32	0.55	7.66	1404	83.4	720	.472	240	1.26	7.5	23	.481	662	.333	27.0	863	.723	19.5	624
333	Maine	30	433	14.4	491	16.4	0.88	2015	0.14	639	90	3.00	337	35.1	1054	11.2	23.9	717	249	0.39	0.51	8.30	1236	76.0	673	.483	228	1.19	7.6	22	.492	597	.339	20.4	611	.656	13.4	401
334	VCU	33	476	14.4	380	11.5	1.25	2015	0.19	644	125	3.79	413	37.5	1237	12.5	25.0	824	294	0.46	0.77	8.91	1383	77.3	665	.495	240	1.25	7.3	20	.510	685	.361	20.2	668	.690	14.0	461
335	New Mexico	32	461	14.4	489	15.3	0.94	2015	0.20	657	130	4.06	310	36.7	1173	9.7	27.0	863	180	0.27	0.37	5.63	1242	76.0	540	.510	196	1.36	6.1	17	.520	633	.363	24.5	783	.738	18.1	578
336	Tennessee Tech	30	432	14.4	375	12.5	1.15	2015	0.20	584	117	3.90	285	35.9	1076	9.5	26.4	791	158	0.27	0.42	5.27	971	78.6	710	.527	259	1.40	8.6	24	.536	512	.365	25.0	749	.742	18.5	556
337	Murray State	31	445	14.4	367	11.8	1.21	2015	0.11	618	66	2.13	308	32.8	1018	9.9	22.9	710	186	0.30	0.51	6.00	1073	71.4	621	.507	226	1.31	7.3	20	.522	544	.364	19.8	613	.724	14.3	444
338	Butler	31	445	14.4	317	10.2	1.40	2015	0.17	615	104	3.35	354	36.4	1129	11.4	25.0	775	210	0.34	0.66	6.77	1295	80.6	569	.500	220	1.34	7.1	18	.525	648	.387	23.9	741	.731	17.5	542
